,CHO,TG,HDL,LDL,APOB
stage_0,0.556058792648867,-0.09641105445459996,0.306798567667236,0.5860831621295721,-0.025232248509644117
stage_1,0.6812518765272211,0.03737418540199833,0.6342570169600836,0.75336873909922,0.16696386690294107
stage_2,0.926678698319299,0.4789461449409995,0.8198508180908906,0.8528234979749449,0.5414360282591827
stage_3,0.8342940861667512,0.5397754046783174,0.8028060060633899,0.9023724715769751,0.5502904210135469
stage_4,0.9292902298399455,0.6233951049607445,0.8296585965004457,0.9047969028013639,0.5642605013080466
stage_5,0.9453019259064729,0.6463877451844577,0.8122772115384576,0.9393422632576133,0.5983488490669577
stage_6,0.9550677446754604,0.7241573839337527,0.842763417165714,0.9495099820029773,0.6014377335913343
stage_7,0.9507065133860607,0.6849038521145399,0.8366924675359684,0.9425749499507454,0.6729471288420752
stage_8,0.9210415615272685,0.7065324137882794,0.7822511369105898,0.9448789215567004,0.6767422242255259
stage_9,0.9014175738977951,0.7646549668069114,0.8620010116200418,0.9432670568424673,0.6346587330214211
stage_10,0.9327304941252003,0.7405226616069907,0.8627181906103876,0.9396245392629091,0.6048820847651801
stage_11,0.9420070628709202,0.7442226092443367,0.8839852881951104,0.9308825251950092,0.6586327979898687
stage_12,0.7512760827733673,0.7212737258544726,0.8339096369935429,0.9341244948851242,0.6436957555117444
stage_13,0.7794419298683898,0.7648268743135547,0.8281015514331224,0.9340542371171072,0.593112437107397
stage_14,0.9293903136352395,0.7449400152100902,0.8359335632347186,0.9538028392022202,0.6155261508506847
stage_15,0.736311554458378,0.790183008767001,0.8904717140568695,0.9440889609242075,0.5986951378811263
stage_16,0.5755036295362017,0.7579623792685545,0.7931436515956346,0.9484110419966053,0.6699790301749315
stage_17,0.8848584315766873,0.7388127664090001,0.7803367811338898,0.9462852070546899,0.7302119337131765
stage_18,0.8575776107101021,0.7711098946016348,0.7997981301932315,0.9610343954661343,0.7044535941974313
stage_19,0.7010394261594316,0.7476186115371357,0.818975093067564,0.9494274862686098,0.722101724747931
stage_20,0.2982758519011802,0.7672054398904115,0.831083931012232,0.9357892104423525,0.6839309306838227
max_stage,6,15,15,18,17
