,indicator,importance
0,g__Butyricimonas,0.09747424
1,g__Eubacterium_oxidoreducens_group,0.0
2,g__Ruminiclostridium_9,0.18577228
3,g__Ruminococcaceae_UCG-010,0.07033886
4,g__Ruminococcaceae_UCG-004,0.0
5,g__Enterorhabdus,0.1154624
6,g__Eubacterium_nodatum_group,0.09634054
7,g__Bacteroides,0.037486933
8,g__Parabacteroides,0.0
9,g__Eubacterium_coprostanoligenes_group,0.0
10,g__Brachyspira,0.13299729
11,g__Escherichia-Shigella,0.047737915
12,g__Candidatus_Arthromitus,0.1738172
13,g__Desulfovibrio,0.04257236
14,g__Veillonella,0.0
15,g__Longilinea,0.0
