,indicator,importance
0,g__Staphylococcus,0.016492479
1,g__Lachnospiraceae_UCG-001,0.11429342
2,g__Ruminococcaceae_UCG-013,0.06795467
3,g__Proteiniclasticum,0.038991917
4,g__Gemella,0.0041155918
5,g__Eisenbergiella,0.0019084951
6,g__Peptococcus,0.116295196
7,g__Alcaligenes,0.06537475
8,g__Brumimicrobium,0.11282789
9,g__Ruminiclostridium_6,0.07062803
10,g__Ruminiclostridium,0.08672803
11,g__Corynebacterium,0.06286433
12,g__Ruminococcaceae_UCG-009,0.013714688
13,g__Eubacterium_fissicatena_group,0.097769745
14,g__Rikenella,0.048662536
15,g__Ruminococcaceae_NK4A214_group,0.06333501
16,g__Intestinimonas,0.01804323
