,indicator,importance
0,meta_3688,0.00030716433
1,meta_460,0.00061358005
2,meta_848,0.00051866384
3,meta_887,0.009013037
4,meta_1010,0.0012375446
5,meta_2519,0.01065231
6,meta_3726,0.008881214
7,meta_3816,0.0019455465
8,meta_1224,0.008260241
9,meta_2592,0.0009941296
10,meta_3217,0.014199987
11,meta_3347,0.45055845
12,meta_2022,0.11003604
13,meta_2111,0.004624958
14,meta_2745,0.06282793
15,meta_1298,0.033142205
16,meta_54,0.0018761276
17,meta_3056,0.008951274
18,meta_100,0.016340382
19,meta_178,0.016425721
20,meta_3676,0.1757681
21,meta_1814,0.00044703617
22,meta_513,0.0067890007
23,meta_1526,0.034049217
24,meta_2900,0.005503598
25,meta_2078,0.0017036942
26,meta_2506,0.0012680928
27,meta_3515,0.003370323
28,meta_3661,0.009694358
