,indicator,importance
0,meta_2123,0.0017958545
1,meta_3016,0.005602421
2,meta_1903,0.01704968
3,meta_2783,0.002425674
4,meta_422,0.00037818158
5,meta_1256,0.0041926233
6,meta_734,0.0074104476
7,meta_2096,0.012245665
8,meta_736,0.0013788319
9,meta_3254,0.015656687
10,meta_3247,0.0053538014
11,meta_1571,0.008327984
12,meta_91,0.033499684
13,meta_3222,0.010916482
14,meta_252,0.0018765916
15,meta_294,0.0016207502
16,meta_2673,0.0012132346
17,meta_3220,0.0009446006
18,meta_3578,0.031414077
19,meta_3347,0.3765333
20,meta_145,0.017058449
21,meta_3701,0.0015746539
22,meta_54,0.08158765
23,meta_42,0.0328783
24,meta_521,0.0008010053
25,meta_178,0.0027502007
26,meta_2701,0.045828104
27,meta_1013,0.16867188
28,meta_3079,0.025638403
29,meta_41,0.021086784
30,meta_1176,0.018446324
31,meta_2340,0.0
32,meta_2433,0.03565531
33,meta_640,0.008186299
