,indicator,importance
2,g__Lachnospiraceae_UCG-001,0.12418173
0,g__Staphylococcus,0.122140095
24,g__Pseudomonas,0.103483394
14,g__Ruminiclostridium,0.09994916
8,g__Peptococcus,0.07323872
15,g__Corynebacterium,0.053701796
5,g__Gemella,0.05238131
11,g__Proteus,0.04952275
3,g__Ruminococcaceae_UCG-013,0.046128932
4,g__Proteiniclasticum,0.038933646
16,g__Ruminococcaceae_UCG-009,0.032856666
23,g__Intestinimonas,0.02415318
21,g__Rikenella,0.020486113
9,g__Enterococcus,0.020213261
10,g__Alcaligenes,0.019415995
6,g__Butyricicoccus,0.017613834
12,g__Brumimicrobium,0.015548517
20,g__Odoribacter,0.015196638
17,g__Eubacterium_fissicatena_group,0.013553691
18,g__Sutterella,0.013341012
7,g__Eisenbergiella,0.010275411
19,g__uncultured,0.009717104
13,g__Ruminiclostridium_6,0.009676467
1,g__Coriobacteriaceae_UCG-002,0.008149519
22,g__Ruminococcaceae_NK4A214_group,0.006141001
