,indicator,importance
3,g__Prevotellaceae_UCG-001,0.21227653
15,g__Akkermansia,0.09292517
5,g__Ruminiclostridium_9,0.088489264
6,g__Ruminiclostridium,0.07901305
13,g__Subdoligranulum,0.06718136
11,g__Eubacterium_coprostanoligenes_group,0.062800094
14,g__Family_XIII_UCG-001,0.06204118
4,g__Proteus,0.060801446
7,g__Alloprevotella,0.04347209
12,g__Rikenella,0.041233245
2,g__Peptococcus,0.041093767
8,g__Mucispirillum,0.033093788
10,g__Eubacterium_nodatum_group,0.032223087
1,g__Eisenbergiella,0.03189659
16,g__Lachnoclostridium,0.027253488
17,g__Family_XIII_AD3011_group,0.024205731
0,g__Petrimonas,0
9,g__Paeniclostridium,0
