,indicator,importance
11,meta_2592,0.3800558
19,meta_54,0.24374807
14,meta_2022,0.10086671
29,meta_1526,0.06703721
18,meta_1298,0.038791083
30,meta_2900,0.033501282
26,meta_1814,0.020898804
25,meta_3676,0.018816277
5,meta_887,0.017474381
21,meta_2700,0.012697713
4,meta_848,0.010237005
7,meta_2519,0.00971116
23,meta_100,0.008129216
31,meta_2078,0.003797173
22,meta_3056,0.003767405
20,meta_942,0.003629128
16,meta_2920,0.003542522
33,meta_3515,0.003216612
1,meta_3688,0.002910239
2,meta_1644,0.002441307
6,meta_1010,0.002173385
34,meta_3661,0.002168764
12,meta_3217,0.002083029
24,meta_178,0.002031085
10,meta_1224,0.001788033
27,meta_1483,0.001681565
0,meta_1832,0.00057157
28,meta_513,0.000569237
17,meta_2745,0.000438862
8,meta_3726,0.000371419
9,meta_3816,0.000337232
3,meta_460,0.00022412
32,meta_2506,0.000177131
13,meta_3347,0.000114794
15,meta_2111,7.20E-07
