,indicator,importance
25,meta_1037,0.31281093
22,meta_513,0.0877424
19,meta_2475,0.078008376
15,meta_1233,0.07761213
11,meta_1164,0.048585515
18,meta_1599,0.046511184
13,meta_1598,0.040882517
14,meta_3541,0.03314084
24,meta_3601,0.028927889
5,meta_848,0.02596614
26,meta_428,0.021859057
9,meta_306,0.02145007
20,meta_3267,0.019880814
6,meta_1263,0.018905986
23,meta_2394,0.016487133
17,meta_3656,0.01590902
12,meta_3624,0.015582277
7,meta_25,0.015153593
0,g__Delftia,0.01376903
8,meta_2467,0.012803461
27,meta_3125,0.01049374
10,meta_2232,0.009518404
2,g__Desulfovibrio,0.007594205
1,g__Bilophila,0.007480065
16,meta_87,0.004897612
3,meta_2278,0.004091165
4,meta_2831,0.003936463
21,meta_2246,0
