,indicator,importance
2,g__Eubacterium_nodatum_group,0.17044747
21,meta_2971,0.12658958
7,meta_2879,0.103541575
30,meta_3675,0.09738319
16,meta_379,0.08480243
8,meta_1874,0.048512444
28,meta_706,0.041833207
23,meta_58,0.04128577
24,meta_3416,0.038129184
15,meta_3282,0.037623644
9,meta_3595,0.034786087
18,meta_1751,0.027321015
1,g__Lachnospiraceae_UCG-006,0.018568465
12,meta_1222,0.018551115
11,meta_2855,0.016743448
25,meta_1412,0.014192327
10,meta_3625,0.013235045
26,meta_3246,0.010686534
27,meta_3078,0.009476225
6,meta_3269,0.009178896
19,meta_1314,0.007307907
13,meta_972,0.006271729
14,meta_37,0.005765948
5,meta_887,0.004751063
22,meta_137,0.004021216
4,meta_3688,0.003318185
3,meta_132,0.002592224
0,g__Blautia,0.002090768
29,meta_2987,0.000447319
17,meta_605,0.000391218
20,meta_302,0.000154765
