meta_582,Linoleic acid
meta_408,Deoxycholic Acid
meta_2307,Sulfuric acid
meta_3251,Citraconic acid
meta_3531,Maleamic acid
meta_468,Ethyl myristate
meta_2683,L-Norleucine
meta_2669,L(+)-Ornithine
meta_3547,Methyl acetate
meta_2751,p-Coumaraldehyde
meta_2812,trans-Cinnamic acid
meta_2806,Tiglic acid
meta_771,Pyruvic acid
meta_2880,"""1,3-Propanediol"""
meta_397,D-(+)-Malic acid
meta_1479,cholesterol sulfate
meta_23,(R)-2-hydroxystearic acid
meta_1634,D-Ribitol 5-phosphate
meta_3313,Diisobutyl phthalate
meta_690,Oleic acid
meta_849,trans-Petroselinic Acid
meta_2574,Choline
meta_783,Ribose
meta_1425,Bisthiosemi
meta_2200,Pyrophosphate
meta_2691,Meglutol
meta_2820,Valine
meta_2591,D-(+)-Pyroglutamic Acid
meta_3185,b-D-Galactopyranose
meta_97,2-acetoxy-6-pentadecylbenzoic acid
meta_3652,Octylamine
meta_2681,L-Lysine
meta_2525,7-Methylsulfenylheptyl isothiocyanate
meta_533,Hypoxanthine
meta_3508,L-Prolinamide
meta_589,L-Phenylalanine
meta_593,L-Threonic acid
meta_2425,(-)-Caryophyllene oxide
meta_2610,DL-Glutamine
meta_3798,Soyasapogenol F
meta_655,N-Acetylneuraminic acid
meta_469,Ethyl-beta-glucuronide
meta_415,D-Glucose 6-phosphate
meta_2666,L-(-)-Methionine
meta_2018,Nifuradene
meta_2264,Sevoflurane
meta_2994,2-Oxazolidinone
meta_2863,(S)-Methylmalonic acid semialdehyde
meta_1740,Glyceraldehyde
meta_216,4-Methyl-2-oxovaleric Acid
meta_2479,2-Methyl-S-benzothiazole
meta_3411,Guazatine
meta_2611,DL-Homoserine
meta_228,4-Vinylphenol
meta_366,Cholic acid
meta_152,"""3,8,9-trihydroxy-10-propyl-3,4,5,8,9,10-hexahydro-2H-oxecin-2-one"""
meta_117,2-hydroxyquinoline
meta_319,ASCORBIC ACID
meta_3011,"""3alpha,7alpha-Dihydroxy-5alpha-cholan-24-oic Acid"""
meta_257,6-Hydroxycaproic acid
meta_2605,DL-Alanine
meta_3617,Neocnidilide
meta_556,L-(+)-Lactic acid
meta_246,5-Hydroxyindole-3-acetic acid
meta_414,D-Gluconic acid
meta_2742,Oleamide
meta_3057,4-Formylsalicylic acid
meta_2688,L-Valine
meta_843,Thymidine
meta_726,Phosphatidylethanolamine lyso alkenyl 16:0
meta_653,N-Acetylmannosamine
meta_3191,Benzene
