bodyweight,Food consumption,protein,fat,carbohydrate
31,4.9,1.130833333,0.540833333,3.195833333
31.6,4.9,1.130833333,0.540833333,3.195833333
31.4,4.9,1.130833333,0.540833333,3.195833333
30.3,4.9,1.130833333,0.540833333,3.195833333
35.3,5.5,1.2733375,0.6089875,3.5985625
33.2,5.5,1.2733375,0.6089875,3.5985625
31.9,5.5,1.2733375,0.6089875,3.5985625
30.7,5.5,1.2733375,0.6089875,3.5985625
33.6,5.5,1.2733375,0.6089875,3.5985625
29.8,2.8,0.6492125,0.3193625,1.8184875
25.4,2.8,0.6492125,0.3193625,1.8184875
30.2,2.8,0.6492125,0.3193625,1.8184875
24.4,2.8,0.6492125,0.3193625,1.8184875
26.8,3,0.708389583,0.347664583,1.985727083
27.9,3,0.708389583,0.347664583,1.985727083
32.4,3,0.708389583,0.347664583,1.985727083
27.7,3,0.708389583,0.347664583,1.985727083
29.6,3,0.708389583,0.347664583,1.985727083
34.7,5.8,1.33,0.88,3.78
31.6,4.1,0.94,0.69,2.67
33.8,4.1,0.94,0.69,2.67
30.1,4.1,0.94,0.69,2.67
27.5,4.1,0.94,0.69,2.67
34.3,4.1,0.94,0.69,2.67
31.2,4.1,0.94,0.69,2.67
34,4.4,1.82,0.49,2.89
34.3,4.4,1.82,0.49,2.89
36.1,4.4,1.82,0.49,2.89
33.1,4.4,1.82,0.49,2.89
27.4,4.4,1.82,0.49,2.89
31.1,4.4,1.82,0.49,2.89
31.3,4.4,1.82,0.49,2.89
33.3,4.7,1.98,0.52,3.06
29.4,4.7,1.98,0.52,3.06
33.2,4.7,1.98,0.52,3.06
34.4,4.7,1.98,0.52,3.06
32.1,5,1.95,0.55,3.26
28.2,5,1.95,0.55,3.26
32.6,5,1.95,0.55,3.26
31.8,5,1.95,0.55,3.26
28.6,5,1.95,0.55,3.26
33.5,5.3,2.41,0.58,3.43
35.1,5.3,2.41,0.58,3.43
30.9,5.3,2.41,0.58,3.43
31,5.3,2.41,0.58,3.43
30.7,4.6,1.07,0.5,2.97
35.3,4.6,1.07,0.5,2.97
33.1,4.6,1.07,0.5,2.97
32.1,6.5,1.51,0.71,4.22
33.2,6.5,1.51,0.71,4.22
32.6,6.5,1.51,0.71,4.22
29.9,4.8,1.24,1.63,1.24
50.2,4.8,1.24,1.63,1.24
37.3,4.8,1.24,1.63,1.24
52.4,4.8,1.24,1.63,1.24
50.1,3.6,0.94,1.23,0.94
22.7,3.6,0.94,1.23,0.94
48.1,3.6,0.94,1.23,0.94
52.3,3.6,0.94,1.23,0.94
44.5,3.8,1.26,1.61,1.4
45,3.8,1.26,1.61,1.4
35.4,3.8,1.26,1.61,1.4
46.2,3.8,1.26,1.61,1.4
44.3,3.8,1.26,1.61,1.4
37.2,3.8,1.26,1.61,1.4
31.6,3.8,1.26,1.61,1.4
55.1,3.3,1.13,1.45,1.27
55.1,3.3,1.13,1.45,1.27
50,3.3,1.13,1.45,1.27
53.5,3.3,1.13,1.45,1.27
56.5,3.3,1.13,1.45,1.27
45.3,3.3,1.13,1.45,1.27
35.6,3.5,0.92,1.44,0.94
40.4,3.5,0.92,1.44,0.94
43.6,3.5,0.92,1.44,0.94
53.2,3.5,0.92,1.44,0.94
49.8,3.5,0.92,1.44,0.94
53.4,3.2,0.83,1.32,0.85
52.1,3.2,0.83,1.32,0.85
52.3,3.2,0.83,1.32,0.85
50.8,3.2,0.83,1.32,0.85
53.5,3.2,0.83,1.32,0.85
59.4,3.2,0.83,1.32,0.85
51.7,3.3,1.77,1.14,0.87
55.5,3.3,1.77,1.14,0.87
51.3,3.3,1.77,1.14,0.87
36.6,3.3,1.77,1.14,0.87
48,3.3,1.77,1.14,0.87
28.4,4,1.94,1.36,1.04
42.5,4,1.94,1.36,1.04
45.8,4,1.94,1.36,1.04
50.8,4,1.94,1.36,1.04
32.1,4,1.94,1.36,1.04
53.3,4,1.94,1.36,1.04
29.9,3.6,1.63,1.21,0.93
36.3,3.6,1.63,1.21,0.93
27.9,3.6,1.63,1.21,0.93
43.5,3.6,1.63,1.21,0.93
36,3.6,1.63,1.21,0.93
45.9,3.6,1.63,1.21,0.93
33.7,3.6,1.63,1.21,0.93
60.3,3.7,1.95,1.24,0.95
51.9,3.7,1.95,1.24,0.95
50,3.7,1.95,1.24,0.95
36.4,3.6,0.95,1.22,0.93
57.2,3.6,0.95,1.22,0.93
53.3,3.6,0.95,1.22,0.93
57.3,3.6,0.95,1.22,0.93
48.1,3.2,0.85,1.08,0.83
47.6,3.2,0.85,1.08,0.83
39.4,3.2,0.85,1.08,0.83
40.5,3.2,0.85,1.08,0.83
58.7,3.2,0.85,1.08,0.83
