c__unidentified,c__Limnochordia,c__Verrucomicrobiae,c__Melainabacteria,c__Deltaproteobacteria,c__Alphaproteobacteria,c__Clostridia,c__Sphingobacteriia,c__Betaproteobacteria,c__Gammaproteobacteria,c__Negativicutes,c__Mollicutes,c__Flavobacteriia,c__Synergistia,c__Bacteroidia,c__Actinobacteria,c__Chlamydiae,c__Anaerolineae,c__Unknown_Class,c__Spirochaetes,c__Coriobacteriia,c__Bacilli,c__Bacteroidetes_vadinHA17,c__Erysipelotrichia,c__Chloroplast,c__Epsilonproteobacteria,c__Cytophagia,c__Deferribacteres
3.85E-05,0,0,0,0.012172104,0.000346674,0.302684796,0,0.001040022,0,0.000154077,0.000269635,0,0,0.490504988,0,0,0,0.000962983,0,0.003851932,0.162898193,0,0.004275644,0,0.019259659,0,0.001540773
7.70E-05,0,3.85E-05,0.004968992,0.001502253,0.001617811,0.146797119,0,0.005354185,0.000192597,0.000847425,0,0,0,0.782982166,0,0,0,0,0,0.003813412,0.010207619,0,0.011786911,0.000115558,0.029159123,0,0.00053927
3.85E-05,0,0,0.002888949,0.003582297,0.000192597,0.265321059,0,0.00281191,0.000192597,0.001656331,0.000346674,0,0,0.451677516,0,0,0,0.00057779,0,0.002619314,0.231539617,0,0.004198606,0.000115558,0.030776935,0,0.001463734
0.000115558,0,0,3.85E-05,0.011632834,0.000500751,0.713146643,0,0.000192597,7.70E-05,0.001425215,0.00169485,0,0,0.19864412,0,0,0,0.001386695,3.85E-05,0.004814915,0.015330688,0,0.001348176,7.70E-05,0.046492816,0,0.003043026
7.70E-05,0.000269635,0,7.70E-05,0.030661377,0.019529294,0.240822773,7.70E-05,0.000693348,0.002696352,0,0.014521783,0.000616309,0,0.273256038,0.001502253,0,0,0.00508455,0,0.013404722,0.18851354,0,0.006933477,0.003543777,0.152497978,0.000231116,0.044990563
0.000192597,0,0,0.001078541,0.02819614,0.002465236,0.330226108,0,0.002657833,0.000115558,0,0.011093563,0,0,0.55814491,0,0,0,0.005007511,0,0.011555795,0.009321675,0,0.030083587,0,0.007472748,0,0.002388198
0.000269635,0,0,0.003197103,0.028581334,0.014136589,0.199607103,0,0.008166095,7.70E-05,0,0.014984014,0,0,0.548977312,0.000115558,0,0,0.002657833,0,0.005777898,0.07168445,0,0.059936058,3.85E-05,0.013866954,0,0.027926505
0.000192597,0,0,0.000808906,0.040406764,0.033126613,0.366126112,0,0.00111706,0.001001502,0,0.017757405,0,0,0.336504757,0.000115558,0,0,0.005585301,0,0.016101075,0.069642926,0,0.00731867,0.004776395,0.068371788,0,0.03104657
3.85E-05,0,3.85E-05,0.000808906,0.002657833,0.002657833,0.104849582,0,0.011170602,0.001194099,0,0.007241632,0.000308155,0,0.755671969,0.001271137,0,0,0.001040022,0,0.004352683,0.061476831,0,0.037517815,7.70E-05,0.006355687,0,0.001271137
0.000115558,0,0.000654828,0.000693348,0.026655368,0.000115558,0.551519587,0,0.002734872,0.005431224,0,0.003890451,0.00115558,0,0.302915912,0.001078541,0,0,0.002003005,0,0.002426717,0.050922538,0,0.01637071,0,0.026578329,0,0.004737876
3.85E-05,0,0.036785948,0.000885944,0.00392897,0.000154077,0.419513886,0,0.002195601,0.003081545,0,0.002734872,0.000308155,0,0.318554755,0.00057779,0,0,0.001502253,0,0.005238627,0.150610531,0,0.041485305,0,0.009937984,0,0.002465236
3.85E-05,0,0.011671353,0.00115558,0.002580794,0.000808906,0.265166981,0,0.006278649,0.018181118,0,0.003428219,0.001540773,0,0.496244367,0.00111706,0,0,0.000423712,0,0.002041524,0.117715034,0,0.070336274,0.000308155,0.000770386,0,0.000192597
0,0,0.017179616,0.0033897,0.002349678,0.000115558,0.18678017,0,0.001848927,0.015292169,0,0.000346674,0,0,0.039097107,0.008743885,0,0,3.85E-05,0,0.003890451,0.646585263,0,0.073995609,3.85E-05,0.000308155,0,0
3.85E-05,0,0,0.001194099,0.007241632,0.003043026,0.515658103,0,0.010631332,0.001540773,0,0.004853434,0.000462232,0,0.246947344,0.010515774,0,0,0.001309657,0,0.005739378,0.109048188,0,0.055159663,3.85E-05,0.021609337,0,0.004968992
0,3.85E-05,0,0.000192597,0.003659335,0.001001502,0.225684681,0,0.006163091,0.005431224,0,0.006856439,0.000847425,0,0.409036632,0.036208158,0,0,0.001271137,0,0.003004507,0.225453565,0,0.072146682,0.000231116,0.002657833,0,0.000115558
0.000192597,0,0,0.00053927,0.016871461,0.007434228,0.450945649,0,0.009437233,0.02199453,0,0.010438735,0.003004507,0,0.362081584,0.000885944,0,0,0.000847425,0,0.003428219,0.049420284,0,0.034821463,0,0.022841955,0,0.004814915
0,0,0,0.000693348,0.007588306,0.00169485,0.417857556,0,0.004930473,0.013751396,0,0.009437233,0.000924464,0,0.415738993,0.007395709,0,0,0.001964485,0,0.002965987,0.082623936,0,0.03158584,7.70E-05,0.000616309,0,0.000154077
7.70E-05,0,0,0.002927468,0.010284658,0.000423712,0.410615924,0,0.006163091,0.00731867,0,0.007280151,0.001964485,0,0.444397365,0.007626825,0,0,0.002388198,0,0.002426717,0.077423828,0,0.012672855,3.85E-05,0.005816417,0,0.000154077
0.000346674,0,0,0.013751396,0.012749894,0.003466739,0.268787797,0,0.004044528,0.003081545,0.002118562,0.007126074,3.85E-05,0,0.482223335,3.85E-05,0,0,0.000962983,0,0.002503756,0.153037248,0,0.007087554,0,0.036901506,0,0.001733369
7.70E-05,0,0.003274142,0.014021032,0.014829937,0.007395709,0.192403991,0,0.003120065,0,0,0.001656331,0.00057779,0,0.594930858,0.001271137,0,0,3.85E-05,0,0.002927468,0.083702477,0,0.010246138,0,0.068679943,0,0.000847425
0.00053927,0,0.00111706,0.003351181,0.023959015,0.008435731,0.304032973,0,0.006817919,0.000115558,0,0.006933477,0,0,0.553561111,0.000231116,0,0,0.000770386,0,0.005200108,0.019298178,0,0.027002042,0,0.036747429,0,0.001887447
3.85E-05,0,0.06941181,0.003428219,0.002041524,0.000423712,0.063056123,0,0.013058049,0,0,0.000115558,7.70E-05,0,0.788182273,0.000231116,0,0,0,0,0.00562382,0.010631332,0,0.037132622,0,0.006471245,0,7.70E-05
0.000500751,0,0.003543777,0.00901352,0.025268672,0.005546782,0.450598975,0,0.007472748,0.000115558,0,0.009244636,0.000192597,0,0.418088671,0.000231116,0,0,0.000269635,0,0.001579292,0.00905204,0,0.020993028,0,0.037094103,0,0.001194099
0.000154077,0,0.016678864,0.01244174,0.007087554,0.003351181,0.283348099,0,0.00901352,0,0,0.003813412,7.70E-05,0,0.569931821,0.000385193,0,0,0.002041524,0,0.004391202,0.021070067,0,0.027772428,0,0.037710412,0,0.000731867
0.000192597,0,0,0.000462232,0.033126613,0.002118562,0.5451639,3.85E-05,0.004737876,0,0,0.002311159,0.000231116,0,0.301683294,3.85E-05,0,3.85E-05,0.001001502,0,0.006124571,0.008512769,0,0.018797427,0,0.063556874,0,0.01186395
0.000192597,0,0.078502369,0.002734872,0.010438735,0.005238627,0.325257116,0,0.014367705,0.000231116,0,0.003697854,0,0,0.412657448,0,0,0,0.00057779,0,0.004429722,0.122876623,0,0.005277146,0,0.013250645,0,0.000269635
7.70E-05,0,0.035283695,0.000346674,0.014329186,0.002927468,0.564269481,0,0.001271137,0.000462232,0,0.014714379,0,0,0.18789723,3.85E-05,0,0,0.005931975,0,0.005161589,0.146681561,0,0.00789646,3.85E-05,0.011940988,7.70E-05,0.000654828
7.70E-05,0,0.025923501,0.000231116,0.012210624,0.002850429,0.280189515,0,0.006509765,0.000770386,0,0.003466739,0,0,0.559685682,3.85E-05,0,0,0.001425215,0,0.002080043,0.074611918,0,0.012826933,7.70E-05,0.015446246,0,0.001579292
0.000115558,0,0.089403336,0.001001502,0.010015023,0.002426717,0.380686414,0,0.00392897,0.000616309,0,0.006163091,3.85E-05,0,0.429605947,3.85E-05,0,0,0.000231116,0,0.004237125,0.034012557,0,0.024344209,0.000115558,0.01298101,0,3.85E-05
0,0,0.004198606,0.001425215,0.003428219,0.001463734,0.153846154,0,0.006548284,0.000962983,0,0.021147105,0,0,0.706174647,3.85E-05,0,3.85E-05,0.002157082,0,0.006586803,0.076807519,0,0.006586803,0.00115558,0.007434228,0,0
3.85E-05,0,0.056893032,0.000115558,0.0033897,0.000346674,0.210392512,0,0.008936482,0.000808906,0,0.002157082,0,0,0.468086746,3.85E-05,0,3.85E-05,0.0033897,0,0.011748392,0.204884249,3.85E-05,0.026925003,0.000154077,0.001617811,0,0
3.85E-05,0,0.054774469,0.007010516,0.005893456,0.001656331,0.126266323,0,0.017564809,0.000308155,0,0.002850429,0,0,0.675628828,0,0,0,0.002080043,0,0.004622318,0.066869535,0,0.006586803,0,0.027733909,0,0.000115558
0,0,0.000115558,0.000192597,0.001579292,0.001078541,0.139902161,0,0.004429722,0.001078541,0,0.007626825,0.000115558,0,0.649666808,0.000231116,0,0.000115558,0.010592812,0,0.013866954,0.140749586,0,0.025615346,0.000885944,0.001964485,0,0.000192597
