f__BIrii41,f__Streptococcaceae,f__Alcaligenaceae,f__Ruminococcaceae,f__Deferribacteraceae,f__Micrococcaceae,f__Bogoriellaceae,f__Corynebacteriaceae,f__Christensenellaceae,f__Brucellaceae,f__Pseudomonadaceae,f__Eubacteriaceae,f__Coriobacteriaceae,f__Cryomorphaceae,f__Halomonadaceae,f__MWH-CFBk5,f__Family_XI,f__Lactobacillaceae,f__Hahellaceae,f__Desulfovibrionaceae,f__Mitochondria,f__Caldicoprobacteraceae,f__Sphingobacteriaceae,f__Parachlamydiaceae,f__Nocardiopsaceae,f__Bradyrhizobiaceae,f__Methylococcaceae,f__Bacillaceae,f__Acidaminococcaceae,f__Veillonellaceae,f__Anaerolineaceae,f__Rhodospirillaceae,f__Brachyspiraceae,f__Neisseriaceae,f__Bacteroidaceae,f__Enterococcaceae,f__Peptostreptococcaceae,f__Pasteurellaceae,f__Erysipelotrichaceae,f__Limnochordaceae,f__Helicobacteraceae,f__Clostridiales_vadinBB60_group,f__Cytophagaceae,f__Haloplasmataceae,f__Anaeroplasmataceae,f__Thermomonosporaceae,f__Comamonadaceae,f__Xanthomonadaceae,f__Lachnospiraceae,f__Idiomarinaceae,f__Synergistaceae,f__Verrucomicrobiaceae,f__Flavobacteriaceae,f__Leuconostocaceae,f__Bacteroidales_S24-7_group,f__Unknown_Family,f__Rikenellaceae,f__Aerococcaceae,f__Bifidobacteriaceae,f__Paenibacillaceae,f__Pseudonocardiaceae,f__wallaby_gut_metagenome,f__Staphylococcaceae,f__Planococcaceae,f__Porphyromonadaceae,f__Alcanivoracaceae,f__Peptococcaceae,f__Microbacteriaceae,f__Carnobacteriaceae,f__Family_XIII,f__Enterobacteriaceae,f__unidentified,f__Triticum_aestivum_bread_wheat,f__Defluviitaleaceae,f__Clostridiaceae_1,f__Moraxellaceae,f__Mycoplasmataceae,f__Rhizobiaceae,f__Rs-E47_termite_group,f__Prevotellaceae
0,0.00053927,0.001040022,0.061977582,0.001540773,0,0,0,0.000269635,0,0,3.85E-05,0.003851932,0,0,0,0,0.161087786,0,0.012172104,0,0,0,0,0,0,0,3.85E-05,0,0.000154077,0,0.000346674,0,0,0.014483263,0.001232618,0,0,0.004275644,0,0.019259659,0.001579292,0,0,0,0,0,0,0.224490582,0,0,0,0,0,0.226455067,0.000962983,0.003312661,0,0,0,0,0,0,0,0.007665344,0,0.010053542,0,0,0.003081545,0,0.001540773,0,3.85E-05,0.001001502,0,0,0,0,0.237510111
0,0.003620816,0.005315666,0.00959131,0.00053927,0,0,0,0,0,0,0,0.003813412,0,0,0,0,0.005585301,0,0.001502253,0,0,0,0,0,0,0,0.000115558,0,0.000847425,0,0.001617811,0,0,0.103771041,0.000847425,0,0,0.011786911,0,0.029159123,0.00053927,0,0,0,0,3.85E-05,0,0.133623512,0,0,3.85E-05,0,0,0.426986634,0,0.044066099,0,0,0,0,0,3.85E-05,0,0.011979508,0,0.001348176,0,0,0.000847425,0.000192597,0.007280151,7.70E-05,0,0.000808906,0,0,0,0,0.194021802
0,0.001271137,0.00281191,0.044451292,0.001463734,0,0,0,3.85E-05,0,0,0,0.002619314,0,0,0,0,0.227495089,0,0.003582297,0,0,0,0,0,0,0,0,0,0.001656331,0,0.000192597,0,0,0.029428759,0.002349678,0,0,0.004198606,0,0.030776935,0.000423712,0,0,0,0,0,0,0.210931782,0,0,0,0,0,0.22799584,0.00057779,0.007049035,0.000154077,0,0,0,0,0.000269635,0,0.009167598,0,0.004275644,0,0,0.001617811,0.000154077,0.004622318,0,0,0.003274142,3.85E-05,3.85E-05,0,0,0.177073302
0,0.002349678,0.000192597,0.077231231,0.003043026,0,0,0,3.85E-05,0,0,7.70E-05,0.004814915,0,0,0,0,0.012133585,0,0.011632834,7.70E-05,0,0,0,0,0,0,0,0,0.001425215,0,0.000423712,3.85E-05,0,0.006086052,0.000808906,0,0,0.001348176,0,0.046492816,0.000885944,0,0,0.00115558,0,0,0,0.62416702,0,0,0,0,0,0.113516428,0.001386695,0.005546782,0,0,0,0,0,3.85E-05,0,0.008975001,0,0.007087554,0,0,0.002080043,7.70E-05,0.001001502,3.85E-05,7.70E-05,0.001425215,0,0,0,0,0.06432726
0.000154077,0.029775432,0.000693348,0.050575864,0.044990563,0.000115558,0,7.70E-05,3.85E-05,3.85E-05,0.000423712,3.85E-05,0.013404722,0.000308155,0.000115558,0.000231116,0,0.137513963,0.000115558,0.030507299,0.000808906,0,7.70E-05,0,0.000500751,0,0.000385193,0.00111706,0,0,0,0.000231116,0,0,0.008897962,0.019336697,3.85E-05,7.70E-05,0.006933477,0.000269635,0.152497978,0.003274142,0,0.000192597,0.002349678,3.85E-05,0,0,0.166519009,0.000385193,0,0,0.000308155,7.70E-05,0.140094758,0.00508455,0.0169485,3.85E-05,0.000770386,0.000154077,0,0,0.000231116,3.85E-05,0.008782404,0,0.003197103,0,3.85E-05,0.001964485,0.000693348,0.021840453,0.00111706,0,0.015176611,0.000500751,0.011555795,0,0,0.098339817
0,0.001040022,0.002657833,0.093293787,0.002388198,0,0,0,3.85E-05,0,0,3.85E-05,0.011555795,0,0,0,0,0.007010516,0,0.02819614,0,0,0,0,0,0,0,0.000269635,0,0,0,7.70E-05,0,0,0.033126613,0.000924464,0,0,0.030083587,0,0.007472748,0.004583799,0,0,0.002041524,0,0,3.85E-05,0.225569123,0,0,0,0,0,0.261661723,0.005007511,0.051577366,0,0,0,0,3.85E-05,7.70E-05,0,0.067562883,0,0.00281191,0,0,0.002965987,7.70E-05,0.011671353,0,0,0.000770386,0,0.001848927,0,0,0.143522977
0,0.000231116,0.008166095,0.059550865,0.027926505,0,0,0,7.70E-05,0,0,0,0.005777898,0,0,0,0,0.070798505,0,0.028581334,0,0,0,0,0,0,0,0.000154077,0,0,0,0.000269635,0,0,0.014290667,0.000462232,0,0,0.059936058,0,0.013866954,0.001887447,0,0,0.001848927,0,0,0,0.129270829,0,0,0,0,0,0.473980201,0.002657833,0.007549786,0,0.000115558,0,0,0,0,3.85E-05,0.011055044,0,0.004853434,0,0,0.002734872,0,0.019991526,0,0,0.001040022,7.70E-05,0.011209121,0,0,0.041600863
0,0.017218135,0.00111706,0.071491853,0.03104657,3.85E-05,0,0,0,0,0,7.70E-05,0.016101075,0,0,0,0,0.04572243,0,0.040406764,0.000654828,0,0,0,0,0,0,0.000269635,0,0,0,3.85E-05,0,0,0.008358692,0.006355687,0.000115558,3.85E-05,0.00731867,0,0.068371788,0.00223412,0,0,0.001040022,0,0,0,0.273910866,0,0,0,0,0,0.181271908,0.005585301,0.017795925,3.85E-05,7.70E-05,0,0,0,3.85E-05,0,0.014444744,0,0.004083048,0,0,0.00566234,0.000385193,0.037440777,0.001463734,0,0.008512769,0.00057779,0.016139594,0,0,0.11455645
0,0.001733369,0.011170602,0.02823466,0.001271137,0,0,3.85E-05,7.70E-05,0,0,0,0.004352683,0,0,0,0,0.05758638,0,0.002657833,7.70E-05,0,0,0,0,0,0,0,0,0,0,0.000808906,0,0,0.024690882,0.001925966,0,0,0.037517815,0,0.006355687,0.001348176,0,0,0.004006009,0,0,0,0.071414815,0,0,3.85E-05,0.000308155,0,0.482993721,0.001040022,0.004468241,0.000115558,0.001232618,0,0,7.70E-05,7.70E-05,0,0.007703863,0,0.001386695,0,3.85E-05,0.001348176,0.000885944,0.005816417,0,0,0.001001502,0.000308155,0.001733369,0,0,0.234158931
0,0.000616309,0.002734872,0.127190786,0.004737876,0,0,0,0.000462232,0,0,0,0.002426717,0,0,0,0,0.0496514,0,0.026616848,0,0,0,0,0,0,0,0,0,0,0,7.70E-05,0,0,0.012711375,0.00053927,0,0,0.01637071,0,0.026578329,0.000423712,0,0,0.000731867,0,0,3.85E-05,0.412850044,0,0,0.000654828,0.00115558,3.85E-05,0.208119872,0.002003005,0.007395709,3.85E-05,0.001078541,0,0,0,3.85E-05,0,0.009437233,0,0.008936482,0,0,0.001309657,0.005392704,0.002041524,0,0,3.85E-05,0,0.002734872,0,0,0.064828011
