g__Ureaplasma,g__Butyricimonas,g__Mucispirillum,g__Prevotellaceae_NK3B31_group,g__Rhizobium,g__Clostridium_innocuum_group,g__Ruminococcus_2,g__Christensenellaceae_R-7_group,g__Ruminococcus_1,g__Paeniclostridium,g__Clostridium_sensu_stricto_1,g__Psychrobacter,g__Enterococcus,g__Leuconostoc,g__Lactobacillus,g__Ruminococcaceae_NK4A214_group,g__Lachnospiraceae_UCG-006,g__Corynebacterium_1,g__Stenotrophomonas,g__Eubacterium_fissicatena_group,g__Family_XIII_AD3011_group,g__Ruminococcaceae_UCG-004,g__Facklamia,g__Anaerotruncus,g__Empedobacter,g__Ruminococcaceae_UCG-007,g__Eisenbergiella,g__Erysipelatoclostridium,g__Paenalcaligenes,g__Marvinbryantia,g__Longilinea,g__Alloprevotella,g__Eubacterium_coprostanoligenes_group,g__Rikenella,g__Caproiciproducens,g__Blautia,g__Lachnoclostridium,g__Acetivibrio_ethanolgignens_group,g__Ruminococcaceae_UCG-013,g__Enterorhabdus,g__Alcaligenes,g__Bacillus,g__Ruminococcaceae_UCG-010,g__Morganella,g__Tyzzerella_3,g__Allobaculum,g__Parasutterella,g__Streptococcus,g__Candidatus_Soleaferrea,g__Mycoplasma,g__Glutamicibacter,g__Pseudomonas,g__Tyzzerella,g__uncultured,g__Prevotellaceae_UCG-001,g__Parabacteroides,g__Vagococcus,g__Family_XIII_UCG-001,g__Escherichia-Shigella,g__Carnobacterium,g__Raoultella,g__Coprococcus_1,g__Eubacterium_xylanophilum_group,g__Subdoligranulum,g__Bilophila,g__Alistipes,g__Gordonibacter,g__Anaerovorax,g__Anaerofustis,g__Comamonas,g__Ruminiclostridium_1,g__Phaseolus_acutifolius_tepary_bean,g__Ruminiclostridium_6,g__Acetatifactor,g__Citrobacter,g__Candidatus_Protochlamydia,g__Muribacter,g__Peptococcus,g__Coprococcus_2,g__Bacteroides,g__Triticum_aestivum_bread_wheat,g__Ruminiclostridium,g__mouse_gut_metagenome,g__Parvibacter,g__Intestinimonas,g__Brachyspira,g__unidentified,g__Oscillibacter,g__Veillonella,g__Gemella,g__Prevotellaceae_Ga6A1_group,g__Ruminococcaceae_UCG-009,g__Anaerostipes,g__Candidatus_Stoquefichus,g__Sutterella,g__Lachnospiraceae_UCG-001,g__Eubacterium_ventriosum_group,g__Proteiniclasticum,g__Helicobacter,g__Ruminococcaceae_UCG-005,g__Bradyrhizobium,g__Eubacterium_oxidoreducens_group,g__Jeotgalicoccus,g__Odoribacter,g__Acinetobacter,g__Coriobacteriaceae_UCG-002,g__Roseburia,g__Desulfovibrio,g__Caldicoprobacter,g__Corynebacterium,g__Butyricicoccus,g__Staphylococcus,g__Anaeroplasma,g__Senegalimassilia,g__Georgenia,g__Proteus,g__Adlercreutzia,g__Bifidobacterium,g__Faecalibaculum,g__Papillibacter,g__Eubacterium_brachy_group,g__Lactococcus,g__Akkermansia,g__Turicibacter,g__Ruminococcaceae_UCG-014,g__Ruminiclostridium_9,g__Eubacterium_nodatum_group,g__Defluviitaleaceae_UCG-011,g__Romboutsia,g__Rikenellaceae_RC9_gut_group,g__Candidatus_Arthromitus
0,0,0.001210134,0,0,0,0,0.000195183,0.004528243,0,3.90E-05,0,0.001093024,0,0.162704454,0.000351329,0.003474255,0,0,0,3.90E-05,7.81E-05,0,0.003357146,0,0,0,0.001717609,0,0.000195183,0,0.079439435,0.0016005,0,0,0.000234219,0.009602998,0,0.000975914,0.003044853,0,3.90E-05,0.002225085,0,0,0,0.000975914,0.000390366,0,0,0,0,0.001717609,0.000234219,0.125424523,0.000312293,0,0.001639536,0,0,0,0.000819768,0.004372097,0.000507476,0.000390366,0.003005816,0.00011711,0,3.90E-05,0,0,0,0.00581645,0,0,0,0,0.000624585,0,0.014326424,0,0.001093024,0.000624585,3.90E-05,0.009095523,0,0.370535191,0.003942694,0.000312293,0,0.000390366,0.000195183,0,0.000351329,0,0.00890034,0,0,0.018152008,0.000663622,0,0,0,0.007963462,0,3.90E-05,0.008861303,0.011671937,0,0,0.000663622,0,0,0,0,3.90E-05,0.000156146,0,0,0,0.001444353,0.000234219,0,0,0.008627084,0.007338877,7.81E-05,3.90E-05,0,0.000312293,0.000858805
0,0,0.000546512,0,0,0,0,0,7.81E-05,0,0.000156146,0,0.000702658,0,0.005543194,0.00011711,0.001405317,0,0,0,0,0,0,0.000312293,0,0,0,0.003942694,0,0.003903658,0,0.1062966,3.90E-05,0.000273256,0,0.000195183,0.006987547,0,0,0.002927743,0,0.000156146,0.00011711,0,0,0,0.005269938,0.000234219,0,0,0,0,0.000819768,0.000624585,0.066440255,0.005543194,0,7.81E-05,0.00011711,0,0,0.00011711,0,0,0.000351329,0.006714291,0.000624585,0,0,0,0,7.81E-05,0.000702658,0,0,0,0,0,0,0.101456064,0,0.000273256,0.000468439,3.90E-05,0.001014951,0,0.484131631,0.000429402,0.000975914,0,0.000156146,0,0,0.002225085,0,0.00011711,0,0,0.028769957,0.000156146,0,0,0,0.006987547,0,0.000546512,0.000975914,0.000975914,0,0,0.000858805,0,0,3.90E-05,0,0,0,0,0,0,0.000390366,0.003747511,3.90E-05,0,0.00011711,0.002303158,7.81E-05,0,0,0.03638209,0.000858805
3.90E-05,0,0.001093024,0,0,0,0,3.90E-05,0.003122926,0,0.000195183,0,0.002029902,0,0.225670453,0.000234219,0.001288207,0,0,0,3.90E-05,0,0,0.002381231,0,0,0,0.001171097,0,0.00011711,0,0.074559863,0,0.000780732,0,0.000156146,0.006245852,0,0.000663622,0.002498341,0,7.81E-05,0.000195183,0,0,0,0.00284967,0.000585549,0,0,0,0,0.001210134,0.000234219,0.089940274,0.001053988,0,0.000624585,7.81E-05,0,0,0.000819768,0.00011711,0.000273256,0.000624585,0.004840536,0.000234219,0,0,0,0,0.00011711,0.002186048,0.00011711,0,0,0,0.000429402,0,0.03068275,0,0.001171097,7.81E-05,0,0.003903658,0,0.333606589,0.002303158,0.001990865,0,0.000234219,0.000936878,0,0.000234219,0,0.066596401,0,0,0.030995042,7.81E-05,0,0,7.81E-05,0.007612133,3.90E-05,3.90E-05,0.009212632,0.002693524,0,0,0.004489206,3.90E-05,3.90E-05,0.00011711,0,0,3.90E-05,0,0,3.90E-05,0.000663622,0.000897841,0,0,0.005074755,0.008158645,0.000273256,0,0,0.0016005,0.00296678
0,0,0.003864621,0,0,0,0,0,0.008119608,0,0.00011711,0,0.000546512,0,0.011984229,0.000741695,0.003864621,0,0,0.000546512,0,3.90E-05,0,0.004723426,0,0,0,0.000702658,0,0,0,0.044150369,0,0.00124917,0,0.000585549,0.014053168,0,0.003435219,0.003630402,0,7.81E-05,0.000429402,0,0,0,0.000195183,0.001053988,0,0,0,0,7.81E-05,0.00011711,0.015692704,0.000312293,0,0.000273256,0,0,0,0.001639536,0.000273256,7.81E-05,0.000468439,0.004059804,0.00011711,0,0,0,0,0,0.003942694,3.90E-05,0,0,0,0.000702658,0,0.006245852,7.81E-05,0.003825585,0.000975914,3.90E-05,0.013740875,3.90E-05,0.313893118,0.004645353,0.001639536,0,0.000195183,0.000390366,0,0.000312293,0,0.000780732,0,0,0.044189405,0,0,0,0,0.007924425,0,0,0.004645353,0.011476754,0,0,0.002693524,3.90E-05,0.001132061,0.000273256,0,3.90E-05,0.000273256,0,0,0.000156146,0.001834719,0.001405317,0,0,0.006323926,0.011671937,0.000273256,7.81E-05,0,0.000819768,0.001444353
7.81E-05,0,0.044189405,0,0,0,0,0,3.90E-05,0,0.005269938,0.000429402,0.017137057,0,0.135769216,0.000507476,0.003903658,0,0,3.90E-05,0,0.00011711,0,0.014209314,0,0,0,0.004059804,0,0,0,0.056173635,0.000156146,0.003708475,0.00296678,0.000858805,0.010852168,0,0.002225085,0.010930242,0,0.000429402,0,0,0.007807315,0,0.000468439,0.008314791,0,0.000507476,7.81E-05,0.000429402,0.003044853,0.000156146,0.037943553,0.001561463,0,0.000507476,0.000507476,3.90E-05,3.90E-05,0.000234219,0.015263302,0,0.000819768,0.005621267,0.00148339,0,3.90E-05,0,0,0.001951829,0.001210134,0.000234219,7.81E-05,0,3.90E-05,0.000195183,0,0.009056486,0.001053988,0.000780732,0.000975914,3.90E-05,0.001171097,0,0.230979428,0.001717609,0,0,0,0.000156146,0,0,0,0.011164461,0,0,0.153452785,0.001912792,0,0,3.90E-05,0.006792364,0.000195183,0.000390366,0.010071437,0.029980091,0,0,0.000975914,0.000273256,0.002381231,3.90E-05,0,7.81E-05,0.000429402,0.000702658,3.90E-05,3.90E-05,0.00136628,0.021821447,0,7.81E-05,0.007377913,0.003825585,0.00011711,0,3.90E-05,0.00729984,0.009720108
0.000234219,0,0.001873756,0,0,0,0,0,0.00011711,0,7.81E-05,0,0.000975914,0,0.006284889,0.003396182,0.000858805,0,3.90E-05,0,0,0.000390366,0,0.009681071,0,0,0,0.018152008,0,0.000897841,0,0.072256705,0.00011711,0.015887887,0.000351329,0.000273256,0.033103018,0,0.009602998,0.006987547,0,0.000195183,0,0,0.000858805,0,0.002029902,0.000507476,0,7.81E-05,0,0,0.000156146,0.000741695,0.071046571,0.002810634,0,0.000195183,3.90E-05,0,0,0.002576414,0.017410313,0,0.000351329,0.011359644,0.001873756,3.90E-05,7.81E-05,0,0,3.90E-05,0.006519108,0,0,0,0,0.000156146,0,0.033805676,0,0.001093024,0.012218449,0,0.001014951,0,0.363079205,0.000858805,0,0,0.000429402,3.90E-05,0,0.000390366,0,0.004918609,0,0,0.008353828,0.000234219,0,0,0,0.064878791,3.90E-05,0.000156146,0.006284889,0.029160323,0,0,0.000741695,0.00011711,0.001912792,7.81E-05,0,0,0.000234219,0,0,3.90E-05,0.002576414,0.000390366,0,0,0.038099699,0.00866612,0.000663622,0,0,0.02314869,0.000624585
0.00011711,0,0.028574775,0,0,0,0,0,0,0,0.000234219,0,0.000273256,0,0.070187766,0.000624585,0.001678573,0,0,0.006401999,0,0.00011711,0,0.009993364,0,0,0.00011711,0.003747511,0,0.000273256,0,0.035913651,0.000936878,0.00284967,0.002381231,0.000195183,0.013857985,0,0.002888707,0.003552329,0,7.81E-05,0.000156146,0,0.002420268,0,0.007690206,0.000195183,0,0,0,0,0.000741695,0.008041535,0.004801499,0.007690206,0,0.000468439,0,0,0,0.00124917,0.004996682,3.90E-05,0.000429402,0.002381231,0.000858805,0,0,0,0,3.90E-05,0.002303158,0,0,0,0,0.000780732,0,0.015380411,0,0.001053988,0.003005816,0.00011711,0.002927743,0,0.619042042,0.001522427,0,0,0.00011711,3.90E-05,0,0.000351329,0,0.002459304,0,0,0.013467619,0.00011711,0,0,0,0.002459304,0.00011711,0.000780732,0.007455986,0.027169458,0,0,0.002576414,0,0.001678573,0,0,0,0.000741695,0.00011711,0.000312293,7.81E-05,0.001834719,0.000195183,0,0,0.007651169,0.006167779,0.000468439,0,0,0.002810634,0.000858805
3.90E-05,0,0.030838896,0,0,0,0,0,7.81E-05,0,0.00421595,0.000273256,0.006753328,0,0.045204356,0.000351329,0.006167779,0,0,3.90E-05,0,0.000273256,0,0.019127923,0,0,0,0.003630402,0,7.81E-05,0,0.05519772,0.00011711,0.002927743,0.004879572,0.001327244,0.020806496,0,0.002186048,0.009798181,0,0.000351329,0,0,0.011242534,0,0.000780732,0.003161963,0,0.000273256,3.90E-05,0,0.00148339,0.000156146,0.052113831,0.001444353,0,0.002147012,0.000546512,3.90E-05,0,0.000819768,0.030487567,0,0.001951829,0.005269938,0.003357146,0,7.81E-05,0,0,0.003240036,0.002107975,0.000507476,3.90E-05,0,3.90E-05,0.000195183,0,0.007885389,0.001522427,0.000585549,0.000858805,0,0.001171097,0,0.327126518,0.004762462,0,0,0,0.00011711,0,0,0,0.013038217,0,0,0.067260023,0.002615451,0,0,0,0.013389546,0.00011711,0.000975914,0.016473436,0.037943553,0,0,0.001444353,7.81E-05,0.0016005,0,0,0,0.000429402,0.000195183,0.00011711,0.000273256,0.002537378,0.013545692,0,3.90E-05,0.008080571,0.00593356,7.81E-05,0,7.81E-05,0.009017449,0.004723426
0,0,0.001288207,3.90E-05,0,0,0,7.81E-05,3.90E-05,0,0.000234219,0.000156146,0.002068939,0,0.060155366,0.000195183,0.000156146,3.90E-05,0,0.002537378,3.90E-05,3.90E-05,0,0.001795683,0,0,3.90E-05,0.006050669,0,0.000507476,0,0.164617246,0.00011711,0.000663622,0.000546512,0.000351329,0.003825585,0,0.002029902,0.002498341,0,3.90E-05,0.000507476,0,0.00124917,0,0.011437717,0.000663622,0,3.90E-05,0,0,0.000936878,0.009329742,0.027794043,0.003786548,0,7.81E-05,0.000312293,0,0,0.000273256,0.002771597,0.000156146,0,0.003357146,0.00124917,0,0,0,0,0.000156146,0.000897841,7.81E-05,0.000273256,0,0,0.000195183,0,0.024124605,0,0.001132061,0.000195183,0.00011711,0.001210134,0,0.575789515,0.00124917,0,3.90E-05,0.000702658,0.00011711,0,0,0,0.016004997,0,0,0.006441035,0.000468439,0,0,0,0.003279072,0.000156146,0.000156146,0.00569934,0.00273256,0,0,0.001093024,3.90E-05,0.004294024,0,0,0,0.000234219,0.001795683,0.001405317,3.90E-05,0.000585549,0.000663622,3.90E-05,0,0.008314791,0.002147012,0.000585549,0,0,0.000351329,0.000780732
0,0,0.004801499,0.002342195,0,0,0,0.000312293,0.001678573,0,0,0,0.000702658,3.90E-05,0.049264161,0.000234219,0.009602998,0,7.81E-05,0,3.90E-05,0.000468439,0,0.005582231,0,0,0.000273256,0.001171097,0,0,0,0.058437756,7.81E-05,0.000156146,0.000546512,0.002771597,0.02931647,0,0.000273256,0.000546512,0,0,0.001951829,0.000624585,0.000507476,3.90E-05,0.00273256,0,0,0,0,0,0.002107975,0.016161143,7.81E-05,0.001756646,0,0.000429402,0,0,0.00136628,0.004372097,0.001795683,0.00148339,0,0.007143694,0.000936878,3.90E-05,0,0,0.00011711,0,0.000156146,0.000897841,0.001288207,0,0,0.000273256,0,0.013272436,0,0.007846352,0.001639536,0,0.019518289,0,0.393918101,0.015107155,0,0,7.81E-05,0.000585549,0.00148339,3.90E-05,0,0.001288207,0,0,0.027130421,0.00136628,0,0,0,0.008275754,0,0.000507476,0.035289066,0.027442714,0,0,0.00148339,0,0.000780732,0,0,0.001014951,7.81E-05,0.001053988,0.000273256,0.000273256,0.000546512,0.000663622,0.000585549,0,0.014794863,0.031112152,3.90E-05,0,0,0.000429402,7.81E-05
