g__Ochrobactrum,g__Moheibacter,g__Delftia,g__Ruminiclostridium_5,g__Staphylococcus,g__Petrimonas,g__Coriobacteriaceae_UCG-002,g__Erysipelatoclostridium,g__Lachnospiraceae_UCG-001,g__Ruminococcaceae_UCG-013,g__Anaerotruncus,g__Butyricimonas,g__Ruminococcaceae_UCG-014,g__Georgenia,g__Bilophila,g__Erysipelothrix,g__Lachnospiraceae_FCS020_group,g__Candidatus_Saccharimonas,g__Clostridium_sensu_stricto_1,g__Sporobacter,g__Blautia,g__Proteiniclasticum,g__Faecalibaculum,g__Glutamicibacter,g__Thermobifida,g__Macellibacteroides,g__Gemella,g__Butyricicoccus,g__Eisenbergiella,g__Sphingobacterium,g__Eubacterium_ventriosum_group,g__Peptococcus,g__Eubacterium_oxidoreducens_group,g__Intestinibacter,g__Aminivibrio,g__Enterococcus,g__Defluviitaleaceae_UCG-011,g__Alcaligenes,g__Lachnospiraceae_UCG-006,g__Prevotellaceae_UCG-001,g__Marvinbryantia,g__Clostridium_innocuum_group,g__Candidatus_Soleaferrea,g__Bradyrhizobium,g__wallaby_gut_metagenome,g__Tyzzerella,g__Proteus,g__Eubacterium_xylanophilum_group,g__Ruminiclostridium_9,g__Brumimicrobium,g__Achromobacter,g__Muribacter,g__Lactobacillus,g__Ruminiclostridium_6,g__Ruminiclostridium,g__Gordonibacter,g__Facklamia,g__Lachnospiraceae_UCG-010,g__Lachnospira,g__Ruminococcaceae_UCG-010,g__Candidatus_Protochlamydia,g__Saccharomonospora,g__Lactococcus,g__Leuconostoc,g__Hahella,g__Corynebacterium,g__Chryseobacterium,g__Corynebacterium_1,g__Morganella,g__Faecalibacterium,g__Bifidobacterium,g__Atopostipes,g__Alloprevotella,g__Mucispirillum,g__Sporosarcina,g__Papillibacter,g__Anaerofustis,g__Ruminococcaceae_UCG-009,g__Turicibacter,g__Paeniclostridium,g__Alcanivorax,g__Ruminococcaceae_UCG-004,g__Triticum_aestivum_bread_wheat,g__Rothia,g__mouse_gut_metagenome,g__Hydrogenoanaerobacterium,g__Paenalcaligenes,g__Eubacterium_fissicatena_group,g__Anaerovorax,g__Ruminococcus_torques_group,g__Eubacterium_brachy_group,g__Trichococcus,g__Alistipes,g__Mycoplasma,g__Idiomarina,g__Caproiciproducens,g__Stenotrophomonas,g__Enterorhabdus,g__Flavobacterium,g__Gracilibacillus,g__Allobaculum,g__Aerococcus,g__Jeotgalicoccus,g__Ruminiclostridium_1,g__Sutterella,g__Coprococcus_1,g__Prevotellaceae_NK3B31_group,g__Eubacterium_nodatum_group,g__Ureaplasma,g__Bacteroides,g__Pusillimonas,g__Parabacteroides,g__Acetatifactor,g__unidentified,g__Oceanobacillus,g__Eubacterium_coprostanoligenes_group,g__Brachyspira,g__Rikenellaceae_RC9_gut_group,g__Pseudogracilibacillus,g__Ruminococcaceae_UCG-007,g__Escherichia-Shigella,g__Candidatus_Arthromitus,g__Enteractinococcus,g__Coprococcus_2,g__Helicobacter,g__uncultured,g__Quinella,g__Candidatus_Stoquefichus,g__Leucobacter,g__Weissella,g__Caldicoprobacter,g__Bacillus,g__Odoribacter,g__Empedobacter,g__Pasteurella,g__Streptococcus,g__Romboutsia,g__Citrobacter,g__Rikenella,g__Desulfovibrio,g__Paludibacter,g__Ammoniibacillus,g__Parvibacter,g__Raoultella,g__Senegalimassilia,g__Carnobacterium,g__Psychrobacter,g__Persicitalea,g__Adlercreutzia,g__Veillonella,g__Oscillibacter,g__Subdoligranulum,g__Anaeroplasma,g__Comamonas,g__Ruminococcaceae_NK4A214_group,g__Roseburia,g__Acinetobacter,g__Collinsella,g__Ruminococcus_1,g__Lachnospiraceae_NK4A136_group,g__Tyzzerella_3,g__Rhizobium,g__Anaerostipes,g__Longilinea,g__Vagococcus,g__Actinomadura,g__Intestinimonas,g__Acetivibrio_ethanolgignens_group,g__Parasutterella,g__Desulfitibacter,g__Family_XIII_UCG-001,g__Enhydrobacter,g__Akkermansia,g__Eubacterium_ruminantium_group,g__Lachnoclostridium,g__Haloplasma,g__Lachnospiraceae_UCG-008,g__Sinibacillus,g__Christensenellaceae_R-7_group,g__Halomonas,g__Ruminococcus_2,g__Family_XIII_AD3011_group,g__Ruminococcaceae_UCG-005,g__Pseudomonas
0,0,0,0.003235623,0,0,7.70E-05,0.001810408,0.008589808,0.001232618,0.004006009,0,0.007703863,0,0.000385193,0,0.000231116,0.000962983,0,0,0.000308155,0,0,0,0,0,0,0.000808906,0,0,0,0.000885944,0,0,0,0.001232618,3.85E-05,0,0.004121567,0.127460421,0.000346674,0,0,0,0,0.001386695,0,0.004583799,0.008551288,0,0,0,0.161087786,0.005739378,0.00111706,0.000192597,0,3.85E-05,0,7.70E-05,0,0,0.000269635,0,0,0,0,0,0,0,0,0,0.079773506,0.001540773,0,0,3.85E-05,0.000346674,0,0,0,7.70E-05,0,0,0.000500751,0,0,0,0,0,0.001271137,0,0.002927468,0,0,0,0,0.003043026,0,0,0,0,0,0,0,0.000924464,0,0.000115558,0,0.014483263,0,0.000500751,3.85E-05,0.37020916,0,0.001656331,0,0.000385193,0,0,0,0.001001502,0,0,0.019259659,0.000346674,0,0.00053927,0,0,0,3.85E-05,0.007164593,0,0,0.000269635,0,0,0,0.011786911,0,0,7.70E-05,0,3.85E-05,0,0,0,0.000115558,0.000154077,0.003697854,0.000462232,0,0,0.000346674,0.009398713,0,0,0.004776395,0.093756019,0,0,0,0,0,0,0.009244636,0,0.001040022,0,0.001617811,0,0,0,0.009899465,0,0,0,0.000269635,0,0,3.85E-05,0.000346674,0
0,0,0,0.001425215,3.85E-05,0,0.000500751,0.004044528,0.000115558,0,0.000308155,0,3.85E-05,0,0.000385193,0,0.002657833,0,7.70E-05,0,0.000192597,0,0,0,0,0,0,0.000731867,0,0,0,0,0,0,0,0.000847425,0,0,0.001579292,0.065367282,0.003543777,0,0,0,0,0.000616309,0,0,0.000885944,0,0,0,0.005585301,0.000731867,0.000192597,0.000654828,0,0,0,0.000115558,0,0,0.003351181,0,0,0,0,0,0,0,0,0,0.105581449,0.00053927,0,0,0,0,0,0,0,3.85E-05,7.70E-05,0,0.000308155,0,0,0,0,0,0.000654828,0,0.006663842,0,0,0,0,0.002580794,0,0,0,0,0,0,0,0.000154077,0,7.70E-05,0,0.103771041,0,0.004968992,3.85E-05,0.48530488,0,3.85E-05,0,0.037132622,0,0,0.000192597,0.000731867,0,0,0.029159123,0.000308155,0,0.002465236,0,0,0,0.000115558,0.007010516,0,0,0.000269635,0,0,0.000269635,0.00111706,0,0,0,0,3.85E-05,0,0,0,3.85E-05,0.000847425,0.000385193,0,0,3.85E-05,0.000115558,0.001425215,0,0,0.000115558,0.098994646,0,0,0,0,0,0,0.001348176,0,0.005315666,0,0.000115558,0,3.85E-05,0,0.007472748,0,0,0,0,0,0,0,0.000154077,0
0,0,0,0.002888949,3.85E-05,0,0,0.001271137,0.065752475,0.000847425,0.002349678,0,0.005469743,0,0.000847425,0,0.00053927,0.00057779,0.000269635,0,0.000346674,0,0,0,0,0,0,0.004198606,0,0,0,0.000462232,0,0,0,0.002349678,0,0,0.001309657,0.089557413,0.000115558,0,0,0,0,0.000962983,3.85E-05,0,0.006047533,0,0,0,0.227495089,0.002041524,0.00115558,0.000346674,0,0,0,3.85E-05,0,0,0.000847425,0,0,0,0,0,0,0,0,0,0.070259235,0.001463734,0,7.70E-05,0,0.00115558,0,0,0,0.000115558,0,0,0.000154077,0,0,0,0,0,0.000616309,0,0.004468241,0,0,0,0,0.001925966,0,0,0,0.000154077,0.000231116,0,0,0.000808906,0,0.000231116,3.85E-05,0.029428759,0,0.001078541,0.000346674,0.340741882,0,0,0,0.002003005,0,0,0.000115558,0.003004507,0,0,0.030776935,3.85E-05,0,0.000462232,0,0,0,0,0.008089057,0,0,0.000423712,0,0,0.00057779,0.002734872,0,0,0,0,0.000115558,0,0,0,7.70E-05,0.001656331,0.002388198,0.000231116,0,0,0.000308155,0.00901352,3.85E-05,0,0.003428219,0.04907361,0,0,0,0,0,0,0.004391202,0,0.00281191,0,0.000693348,0,0,0,0.005854936,0,0,0,3.85E-05,0,0,3.85E-05,0.000154077,0
0,0,0,0.003774893,3.85E-05,0,0,0.000808906,0.000731867,0.003505258,0.005200108,0,0.005931975,0,0.000269635,0,0.00053927,0.001386695,3.85E-05,0,0.000731867,0,0,0,0,0,0,0.002503756,0,0,0,0.001001502,0,0,0,0.000808906,7.70E-05,0,0.003851932,0.015176611,0,0,0,0,0,7.70E-05,3.85E-05,0.000462232,0.013212126,0,0,0,0.012133585,0.003697854,0.003736374,0.000154077,0,7.70E-05,0,3.85E-05,0,0,0.001348176,0,0,0,0,0,0,0,0,0,0.046492816,0.003043026,0,0.000231116,7.70E-05,0.000346674,0,0,0,7.70E-05,3.85E-05,0,0.00111706,0,0,0.000500751,0,0,0.001425215,0,0.003543777,0,0,0,0,0.003620816,0,0,0,0,0,0,0,0.00169485,0,0.000308155,0,0.006086052,0,0.000423712,0.000115558,0.303262586,0,0,3.85E-05,0.000770386,0,0,3.85E-05,0.001386695,0,0,0.046492816,0.000192597,0,0.000346674,0,0,0,0,0.008551288,0,0,0.001001502,0,0,0.001232618,0.011363199,0,0,0.000154077,0,0.000192597,0,0,0,0.000308155,0.001425215,0.004391202,0.000192597,0.00115558,0,0.000770386,0.004622318,0,0,0.007857941,0.425908093,0,0,0,0,0,0,0.013404722,0,0.000192597,0,0.000308155,0,0,0,0.013943993,0,0,0,0,0,0,0,0,0
3.85E-05,7.70E-05,0,0.003351181,0.000192597,0,0.000385193,0.004121567,0.01128616,0.00223412,0.013443242,0,0.008512769,0,0.000770386,3.85E-05,0.00053927,0.00508455,0.004814915,0,0.000808906,0,7.70E-05,0.000115558,0.000500751,0,0,0.001001502,0,7.70E-05,0,0.000115558,0,0,0,0.019259659,0,0,0.004391202,0.038596356,3.85E-05,0,0,0,0,0.003043026,0.000154077,0.014868457,0.003428219,0.000308155,0,3.85E-05,0.137513963,0.00111706,0.000616309,0.001271137,0,7.70E-05,0,0,0,0,0.022379723,0,0.000115558,0,0,7.70E-05,0,3.85E-05,0.000770386,0,0.056700435,0.044990563,3.85E-05,0,3.85E-05,0.000154077,3.85E-05,0,0,3.85E-05,0.00111706,0,0.00111706,3.85E-05,0,0.000115558,0,0,0.001463734,0,0.005546782,0.000770386,0.000385193,0.00169485,0,0.010400216,0.000231116,3.85E-05,0,3.85E-05,3.85E-05,3.85E-05,0,0.000269635,0,0.000154077,0.000192597,0.008897962,0.000231116,0.001386695,0.000231116,0.233735218,0.000192597,7.70E-05,0,0.007549786,0,0,0.000462232,0.010361696,0,0,0.152497978,0.000192597,0,0,0,7.70E-05,0,0.000423712,0.007395709,0,3.85E-05,0.007395709,3.85E-05,3.85E-05,0.003851932,0.029736913,0,0.000154077,7.70E-05,3.85E-05,0,3.85E-05,0.000385193,0,0.000500751,0,0.001771889,0,0.002349678,0,0.000500751,0.010592812,0.000115558,0,0,0.064673934,0.00789646,0,0,0,0,3.85E-05,0.000962983,0,0.000462232,7.70E-05,0.000346674,0,0,0,0.0101691,0.000192597,0,7.70E-05,0,0.000115558,0,0,0.001887447,0.000423712
0,0,0,0.006971996,7.70E-05,0,0.000154077,0.017526289,0.005123069,0.008512769,0.010438735,0,0.037363738,0,0.000269635,0,0.001964485,0.005007511,3.85E-05,0,0.000154077,0,0,0,0,0,0,0.000731867,0,0,0,0.000269635,0,0,0,0.000924464,0,0,0.001733369,0.071414815,0.000693348,0,0,0,3.85E-05,0.000192597,3.85E-05,0.017988521,0.008358692,0,0,0,0.007010516,0.006509765,0.001078541,0.002003005,0,3.85E-05,0,0,0,0,0.000654828,0,0,0,0,0,0,0,0,0,0.071029621,0.002388198,0,0,3.85E-05,0,3.85E-05,0,0,0.000346674,0,0,0.01298101,0,0,0,0,0,0.002349678,0,0.013366203,0.000115558,0,3.85E-05,3.85E-05,0.008358692,0,0,0,0,0,0,0,0.00281191,0,0.000385193,0.000154077,0.033126613,0,0.003043026,3.85E-05,0.363776434,0,0.000231116,0,0.02426717,0,0,3.85E-05,0.000731867,0,0,0.007472748,0.000693348,0,0.000616309,0,0,0,0.000269635,0.064519857,0,0,0.000385193,0,0,0.013828435,0.027926505,0,0,3.85E-05,0,3.85E-05,0,0,0,0.000269635,0,0.000770386,0,0.002041524,0,0.003774893,0.006124571,0,0,0.000192597,0.080736489,0.000731867,0,0,0,0,0,0.001040022,0,0.002657833,0,0.000192597,0,0,0,0.032394746,0,0,0,0,0,0,3.85E-05,0.000269635,0
0,0,0,0.004660837,0,0,0.000693348,0.004391202,0.002657833,0.002426717,0.009976503,0,0.007934979,0,0.000423712,0,0.000154077,0.002657833,0.000346674,0,0.000385193,0,0.000269635,0,0,0,0,0.002465236,3.85E-05,0,0,0.000847425,0,0,0,0.000462232,0,0,0.00169485,0.004660837,0.000115558,0,0,0,0,0.000654828,0,0.004429722,0.00508455,0,0,0,0.070798505,0.001848927,0.000924464,0.000962983,0,0,0,0,0,0,0.000115558,0,0,0,0,0,0,0,0.000115558,0,0.03670891,0.027926505,3.85E-05,7.70E-05,0,0.000269635,0,0,0,3.85E-05,0,0,0.002503756,0,0,0.005931975,7.70E-05,0.000616309,0.001463734,0,0.00223412,0,0,0.001887447,0,0.003235623,0,0,0,0,0,0,0,0.001502253,0,0.000462232,7.70E-05,0.014290667,0,0.008897962,3.85E-05,0.617195023,0,0.000847425,0,0.002965987,0,0,0,0.000693348,0,0,0.013866954,0.008243134,0,0.000423712,0,0,0,0.000154077,0.002157082,0,0,0.000115558,0,0,0.002349678,0.028157621,0,0,3.85E-05,0,0,0,0,0,0.00057779,0,0.001348176,0,0.001848927,0,0.000731867,0.008551288,7.70E-05,0,0,0.039983052,0.003004507,0,0,0,0,0,0.003081545,0,0.008166095,0,0.000693348,0,0,0,0.013982512,0,0,0,0,0,0,3.85E-05,0.000231116,0
0,0,0,0.004737876,3.85E-05,0,0.00057779,0.003582297,0.012133585,0.002465236,0.018720388,0,0.008166095,0,0.002080043,0,0.000808906,0.005585301,0.004121567,0,0.001386695,0,7.70E-05,3.85E-05,0,0,0,0.001386695,0,0,0,0.000192597,0,0,0,0.006317168,0,0,0.006086052,0.055775972,3.85E-05,0,0,0,0,0.001502253,0,0.028157621,0.006124571,0,0,0,0.04572243,0.002003005,0.000616309,0.003736374,0,3.85E-05,0,0,0,0,0.01409807,0,0,0,0,0,0,0,7.70E-05,0,0.054273718,0.03104657,0,0.000269635,7.70E-05,7.70E-05,7.70E-05,0,0,0.000231116,0.001463734,0,0.000770386,0,0,3.85E-05,0,0,0.003312661,0,0.005700859,0.000346674,0,0.003312661,0,0.010053542,0,0,0,3.85E-05,0,0,0,0.00057779,0,0.000154077,3.85E-05,0.008358692,0,0.001810408,0.000346674,0.332652825,0,0,0,0.009090559,0,0,0.000385193,0.004391202,0,0,0.068371788,3.85E-05,0,0,0,0,0,0.000269635,0.012634336,0,3.85E-05,0.003120065,0.000115558,0,0.003004507,0.038326721,0,0,0,0,0.000154077,0,0.000385193,0,0.000616309,0,0.004622318,0,0.001040022,0,0.000385193,0.014252147,0.000192597,0,3.85E-05,0.108585956,0.01074689,0,0,0,0,0,0.001309657,0,0.00111706,0,0.002195601,0,0,0,0.0203382,0,0,0,0,0,0,0,0.00281191,0
0,0,0,0.001078541,7.70E-05,0,0.000269635,0.006240129,0.016293671,0.002195601,0.001656331,0,0.00847425,0,0,0,0.000269635,0.001040022,0.000154077,0,0.00057779,0,0.001348176,0,0,0,0,0.001386695,0,0,0,0.000154077,0,0,0,0.001925966,0,0,0.000192597,0.029159123,0.000269635,0,0,0,7.70E-05,0.001001502,3.85E-05,0.00281191,0.002118562,0,0,0,0.05758638,0.000885944,0.001078541,0.001001502,0,3.85E-05,0,0,0,0,0.000962983,0,0,0,0,3.85E-05,0,0,0.001232618,0,0.16478564,0.001271137,0,0,0,3.85E-05,0,0,0,7.70E-05,0,0,0.000154077,0,0,0.002465236,0,0,0.000500751,0,0.003158584,3.85E-05,0,0.000154077,0,0.002311159,0,0,0,0.000115558,0,0,0,0.000462232,0,0.000693348,0,0.024690882,0,0.004044528,0.000115558,0.580332037,0,0.000115558,0,0.000423712,0,0,0.000500751,0.000847425,0,0,0.006355687,0.009167598,0,0,0,0,0,0,0.003659335,0,0,0.000770386,0,0.000231116,0.000885944,0.002657833,0,0,0.000115558,0,3.85E-05,3.85E-05,0.000154077,0,0.000385193,0,0.001348176,0.000154077,0.004006009,0,0.000231116,0.005392704,0.000154077,0,7.70E-05,0.017834444,0.001271137,0,0,0,0,0,0.00115558,0,0.011170602,0,7.70E-05,0,3.85E-05,0,0.003081545,0,0,0,7.70E-05,0,0,7.70E-05,0.000462232,0
0,0,0,0.003235623,3.85E-05,0,0.000462232,0.001232618,0.001617811,0.000423712,0.005200108,0,0.015061053,0,3.85E-05,0,0.001001502,0.002003005,0,0,0.003120065,0,0.000308155,0,0,0,0,0.001771889,0.000192597,0,0,0.000269635,0,0,0,0.00053927,0,0,0.009360194,7.70E-05,0,0,0,0,0,0.001964485,0.001078541,0.001887447,0.032664381,0,0,0,0.0496514,0.000154077,0.007549786,0.000770386,0,0.000115558,0,0.001425215,0,0,0.000616309,3.85E-05,0,0,0,0,0.00057779,0,0.001078541,0,0.058818998,0.004737876,0,0.000231116,0,0.000885944,0,0,0,0.00053927,0,0,0.001463734,0,0,0,0.000154077,0,0.000616309,0,0.006856439,3.85E-05,0,0.000423712,3.85E-05,0.000770386,0,0,3.85E-05,0,0,0.000115558,0,0.004429722,0.002657833,3.85E-05,0,0.012711375,0,0.001771889,0.000847425,0.4051847,0,3.85E-05,0,0.000423712,0,0,0,3.85E-05,0,0,0.026578329,0.01579292,0,3.85E-05,0,0,0,0,0.007665344,0,0,0,0,0.001425215,0.000115558,0.026578329,0,0,0,0.001579292,0,0,0,0,7.70E-05,0,0.014791418,0.001271137,0.000731867,0,0.000308155,0.035591849,0,0,0.002157082,0.160471476,0.00057779,0,0.001579292,0,0,0,0.019452255,0,0.002734872,0,0.000462232,0,0.000654828,0,0.028388737,0,0,0,0.000308155,0,0,3.85E-05,0.001232618,0
