o__Deferribacterales,o__Triticum_aestivum_bread_wheat,o__Pseudomonadales,o__Erysipelotrichales,o__Anaeroplasmatales,o__Neisseriales,o__Verrucomicrobiales,o__Haloplasmatales,o__Rickettsiales,o__Micrococcales,o__Rhizobiales,o__Selenomonadales,o__Limnochordales,o__Methylococcales,o__Desulfovibrionales,o__Corynebacteriales,o__Burkholderiales,o__Pseudonocardiales,o__Mollicutes_RF9,o__Spirochaetales,o__Campylobacterales,o__Bifidobacteriales,o__Oceanospirillales,o__Flavobacteriales,o__Streptosporangiales,o__Xanthomonadales,o__Pasteurellales,o__Alteromonadales,o__Lactobacillales,o__C178B,o__Coriobacteriales,o__Chlamydiales,o__Bacillales,o__NB1-n,o__Enterobacteriales,o__Anaerolineales,o__Unknown_Order,o__Sphingobacteriales,o__Rhodospirillales,o__Clostridiales,o__Cytophagales,o__unidentified,o__Bacteroidales,o__Gastranaerophilales,o__Myxococcales,o__Mycoplasmatales,o__Synergistales
0.001540773,0,0,0.004275644,0,0,0,0,0,0,0,0.000154077,0,0,0.012172104,0,0.001040022,0,0.000269635,0,0.019259659,0,0,0,0,0,0,0,0.162859674,0,0.003851932,0,3.85E-05,0,0,0,0.000962983,0,0.000346674,0.302684796,0,3.85E-05,0.490504988,0,0,0,0
0.00053927,7.70E-05,0,0.011786911,0,0,3.85E-05,0,0,0,0,0.000847425,0,0,0.001502253,0,0.005354185,0,0,0,0.029159123,0,0,0,0,0,0,0,0.010053542,0,0.003813412,0,0.000154077,0,0.000192597,0,0,0,0.001617811,0.146797119,0,0.000115558,0.782982166,0.004968992,0,0,0
0.001463734,0,3.85E-05,0.004198606,0,0,0,0,0,0,0,0.001656331,0,0,0.003582297,0,0.00281191,0,0.000308155,0,0.030776935,0,0,0,0,0,0,0,0.231269982,0,0.002619314,0,0.000269635,0,0.000154077,0,0.00057779,0,0.000192597,0.265321059,0,0.000154077,0.451677516,0.002888949,0,3.85E-05,0
0.003043026,3.85E-05,0,0.001348176,0.00115558,0,0,0,7.70E-05,0,0,0.001425215,0,0,0.011632834,0,0.000192597,0,0.00053927,3.85E-05,0.046492816,0,0,0,0,0,0,0,0.015292169,0,0.004814915,0,3.85E-05,0,7.70E-05,0,0.001386695,0,0.000423712,0.713146643,0,0.000154077,0.19864412,3.85E-05,0,0,0
0.044990563,0.00111706,0.000924464,0.006933477,0.002349678,0,0,0.000192597,0.019259659,0.000115558,3.85E-05,0,0.000269635,0.000385193,0.030507299,7.70E-05,0.000693348,0,0.000423712,0,0.152497978,0.000770386,0.000231116,0.000616309,0.00053927,0,7.70E-05,0.000385193,0.18678017,3.85E-05,0.013404722,0,0.001540773,0,0.000693348,0,0.00508455,7.70E-05,0.000231116,0.240822773,0.000231116,0.002657833,0.273256038,7.70E-05,0.000154077,0.011555795,0
0.002388198,0,0,0.030083587,0.002041524,0,0,0,0.002388198,0,0,0,0,0,0.02819614,0,0.002657833,0,0.007203112,0,0.007472748,0,0,0,0,3.85E-05,0,0,0.008975001,0,0.011555795,0,0.000346674,0,7.70E-05,0,0.005007511,0,7.70E-05,0.330226108,0,0.000192597,0.55814491,0.001078541,0,0.001848927,0
0.027926505,0,7.70E-05,0.059936058,0.001848927,0,0,0,0.013866954,0,0,0,0,0,0.028581334,0,0.008166095,0,0.001925966,0,0.013866954,0.000115558,0,0,0,0,0,0,0.071491853,0,0.005777898,0,0.000192597,0,0,0,0.002657833,0,0.000269635,0.199607103,0,0.000308155,0.548977312,0.003197103,0,0.011209121,0
0.03104657,0.001463734,0.00057779,0.00731867,0.001040022,0,0,0,0.033088094,3.85E-05,0,0,0,0,0.040406764,0,0.00111706,0,0.00057779,0,0.068371788,7.70E-05,0,0,0,0,3.85E-05,0,0.069334771,0,0.016101075,0,0.000308155,0,0.000385193,0,0.005585301,0,3.85E-05,0.366126112,0,0.003505258,0.336504757,0.000808906,0,0.016139594,0
0.001271137,0,0.000308155,0.037517815,0.004006009,0,3.85E-05,0,0.001848927,0,0,0,0,0,0.002657833,3.85E-05,0.011170602,0,0.001502253,0,0.006355687,0.001232618,0,0.000308155,0,0,0,0,0.061399792,0,0.004352683,0,7.70E-05,0,0.000885944,0,0.001040022,0,0.000808906,0.104849582,0,0.000115558,0.755671969,0.000808906,0,0.001733369,0
0.004737876,0,0,0.01637071,0.000731867,0,0.000654828,0,3.85E-05,0,0,0,0,0,0.026655368,0,0.002734872,0,0.000423712,0,0.026578329,0.001078541,0,0.00115558,0,3.85E-05,0,0,0.050884018,0,0.002426717,0,3.85E-05,0,0.005392704,0,0.002003005,0,7.70E-05,0.551519587,0,0.000115558,0.302915912,0.000693348,0,0.002734872,0
0.002465236,0,0,0.041485305,0.000500751,0,0.036785948,0,0.000115558,0,0,0,0,0,0.00392897,7.70E-05,0.002195601,0,0.000770386,0,0.009937984,0.000500751,0,0.000308155,0,0.000115558,0,0,0.150456454,0,0.005238627,0,0.000154077,0,0.002965987,0,0.001502253,0,3.85E-05,0.419513886,0,3.85E-05,0.318554755,0.000885944,0,0.001463734,0
0.000192597,0.000115558,0.000154077,0.070336274,0.001348176,0,0.011671353,0,0.000192597,0,0,0,0,0,0.002580794,0,0.006278649,0,0.002080043,0,0.000770386,0.00111706,0,0.001540773,0,3.85E-05,0,0,0.117329841,0,0.002041524,0,0.000385193,0,0.017988521,0,0.000423712,0,0.000616309,0.265166981,0,0.000231116,0.496244367,0.00115558,0,0,0
0,3.85E-05,0.000115558,0.073995609,3.85E-05,0,0.017179616,0,3.85E-05,0.000269635,0,0,0,0,0.002349678,3.85E-05,0.001848927,0,0.000269635,0,0.000308155,0.008435731,0,0,0,0.000115558,0,0,0.645391164,0,0.003890451,0,0.001194099,0,0.015061053,0,3.85E-05,0,7.70E-05,0.18678017,0,0,0.039097107,0.0033897,0,3.85E-05,0
0.004968992,3.85E-05,7.70E-05,0.055159663,0.001502253,0,0,0,0.002503756,3.85E-05,0,0,0,0,0.007241632,0,0.010631332,0,0.001309657,0,0.021609337,0.010477254,0,0.000462232,0,0,0,0,0.109009668,0,0.005739378,0,3.85E-05,0,0.001463734,0,0.001309657,0,0.00053927,0.515658103,0,3.85E-05,0.246947344,0.001194099,0,0.002041524,0
0.000115558,0.000231116,0.000423712,0.072146682,0.001425215,0,0,0,0.000731867,7.70E-05,0,0,3.85E-05,0,0.003659335,0,0.006163091,0,0.003158584,0,0.002657833,0.0360926,0,0.000847425,3.85E-05,0.000154077,0,0,0.224529101,0,0.003004507,0,0.000885944,0,0.004853434,0,0.001271137,0,0.000269635,0.225684681,0,3.85E-05,0.409036632,0.000192597,0,0.00227264,0
0.004814915,0,0.001271137,0.034821463,0.003736374,0,0,0,0.007126074,0.000154077,3.85E-05,0,0,0,0.016871461,0,0.009437233,0,0.004198606,0,0.022841955,0.000731867,0,0.003004507,0,0.000192597,0,0,0.048919533,0,0.003428219,0,0.000500751,0,0.020530796,0,0.000847425,0,0.000269635,0.450945649,0,0.000192597,0.362081584,0.00053927,0,0.002503756,0
0.000154077,7.70E-05,0.00057779,0.03158584,0.001964485,0,0,0,0.001463734,7.70E-05,0,0,0,0,0.007588306,0,0.004930473,0,0.003813412,0,0.000616309,0.00731867,0,0.000924464,0,0.000269635,0,0,0.082354301,0,0.002965987,0,0.000269635,0,0.012903971,0,0.001964485,0,0.000231116,0.417857556,0,0,0.415738993,0.000693348,0,0.003659335,0
0.000154077,3.85E-05,0.000346674,0.012672855,0.001925966,0,0,0,0.000385193,0,0,0,0,0,0.010284658,0,0.006163091,0,0.004776395,0,0.005816417,0.007626825,0,0.001964485,0,7.70E-05,0,0,0.077385309,0,0.002426717,0,3.85E-05,0,0.006894958,0,0.002388198,0,3.85E-05,0.410615924,0,7.70E-05,0.444397365,0.002927468,0,0.00057779,0
0.001733369,0,0.001194099,0.007087554,0.003851932,0,0,0,0.000808906,0,0,0.002118562,0,0,0.012749894,3.85E-05,0.004044528,0,0.000616309,0,0.036901506,0,0,3.85E-05,0,0,3.85E-05,0,0.145525981,0,0.002503756,0,0.007511267,0,0.001848927,0,0.000962983,0,0.002657833,0.268787797,0,0.000346674,0.482223335,0.013751396,0,0.002657833,0
0.000847425,0,0,0.010246138,0.000154077,0,0.003274142,0,0.000731867,0,0,0,0,0,0.014829937,0,0.003120065,0,0.000154077,0,0.068679943,0.001271137,0,0.00057779,0,0,0,0,0.083240245,0,0.002927468,0,0.000462232,0,0,0,3.85E-05,0,0.006663842,0.192403991,0,7.70E-05,0.594930858,0.014021032,0,0.001348176,0
0.001887447,0,0,0.027002042,0,0,0.00111706,0,0.006663842,0,0,0,0,0,0.023959015,0,0.006740881,0,0.000385193,0,0.036747429,0.000231116,0,0,0,0,0,0,0.019221139,0,0.005200108,0,7.70E-05,0,0.000115558,0,0.000770386,0,0.001771889,0.304032973,0,0.000616309,0.553561111,0.003351181,0,0.006548284,0
7.70E-05,0,0,0.037132622,0,0,0.06941181,0,7.70E-05,0,0,0,0,0,0.002041524,0,0.013019529,0,0,0,0.006471245,0.000231116,0,7.70E-05,0,0,0,0,0.010592812,0,0.00562382,0,3.85E-05,0,0,0,0,0,0.000346674,0.063056123,0,7.70E-05,0.788182273,0.003428219,0,0.000115558,0
