,0
meta_2347,0.18195978
meta_2506,0.085813016
meta_3291,0.054925792
meta_734,0.05210332
meta_2814,0.031813122
meta_1643,0.025746414
meta_2669,0.024810385
meta_3347,0.021320432
meta_3152,0.021099323
meta_1653,0.013513518
g__Intestinimonas,0.012314074
meta_1287,0.01070341
meta_624,0.010158797
meta_942,0.010015243
meta_3054,0.00824261
meta_3822,0.007784857
meta_1665,0.0045088143
meta_647,0.003704549
meta_3496,0.0029302782
meta_1627,0.002649689
meta_797,0.0011695881
meta_474,0.0008319612
