,OTUs,chao1,goods_coverage,observed_species,PD_whole_tree,shannon,simpson,CHO,TG,HDL,LDL,APOB
OTUs,1,0.804441186,-0.342346865,0.999326977,0.823463954,0.518160904,0.403784721,-0.24651691,-0.086672936,-0.163104876,-0.184501931,-0.08120074
chao1,0.804441186,1,-0.361784672,0.804348008,0.711693566,0.47389294,0.366898078,-0.225090226,-0.092851398,-0.168726964,-0.158156832,-0.090552231
goods_coverage,-0.342346865,-0.361784672,1,-0.342719838,-0.305173429,-0.206192345,-0.161747727,0.101504515,0.081107977,0.05262404,0.132646905,-0.001819344
observed_species,0.999326977,0.804348008,-0.342719838,1,0.822909744,0.51871115,0.403512964,-0.246350998,-0.087514495,-0.162545461,-0.184377757,-0.081596902
PD_whole_tree,0.823463954,0.711693566,-0.305173429,0.822909744,1,0.518927936,0.400859185,-0.327048788,-0.107264018,-0.2262931,-0.261703562,-0.12887433
shannon,0.518160904,0.47389294,-0.206192345,0.51871115,0.518927936,1,0.814949104,-0.212895306,-0.106865121,-0.132477196,-0.165595274,-0.096228109
simpson,0.403784721,0.366898078,-0.161747727,0.403512964,0.400859185,0.814949104,1,-0.113710714,-0.066264764,-0.040922438,-0.073760199,-0.059678424
CHO,-0.24651691,-0.225090226,0.101504515,-0.246350998,-0.327048788,-0.212895306,-0.113710714,1,0.23135879,0.716569567,0.768036626,0.291391254
TG,-0.086672936,-0.092851398,0.081107977,-0.087514495,-0.107264018,-0.106865121,-0.066264764,0.23135879,1,0.178845327,0.236449919,0.440475658
HDL,-0.163104876,-0.168726964,0.05262404,-0.162545461,-0.2262931,-0.132477196,-0.040922438,0.716569567,0.178845327,1,0.60844109,0.261214304
LDL,-0.184501931,-0.158156832,0.132646905,-0.184377757,-0.261703562,-0.165595274,-0.073760199,0.768036626,0.236449919,0.60844109,1,0.339857713
APOB,-0.08120074,-0.090552231,-0.001819344,-0.081596902,-0.12887433,-0.096228109,-0.059678424,0.291391254,0.440475658,0.261214304,0.339857713,1
