,OTUs,chao1,goods_coverage,observed_species,PD_whole_tree,shannon,simpson,CHO,TG,HDL,LDL,APOB
OTUs,1.0,0.9388753584347262,-0.4165605180886095,0.9999650035171359,0.9447858569059856,0.6935897667435335,0.5297573119472491,-0.36160070561144486,-0.13117651861948892,-0.2368818954265972,-0.25662422213692854,-0.11818366600802417
chao1,0.9388753584347262,1.0,-0.44078009923638856,0.9391014651033937,0.8743132300972126,0.6386356431043779,0.4914288124081301,-0.3273605383535093,-0.13663966009560433,-0.23739360659574466,-0.22401036358566398,-0.1359165569868864
goods_coverage,-0.4165605180886095,-0.44078009923638856,1.0,-0.417280588859625,-0.371727152038922,-0.2505354496363649,-0.1829675652417006,0.1234270666010096,0.09845639445185062,0.063920272715377,0.16091289393650193,-0.002204440563875659
observed_species,0.9999650035171359,0.9391014651033937,-0.417280588859625,1.0,0.9444518324506606,0.6935584938036143,0.5292545569492175,-0.36150755641256743,-0.1328729593876327,-0.2368911049209883,-0.2570387564433073,-0.11890760718983247
PD_whole_tree,0.9447858569059856,0.8743132300972126,-0.371727152038922,0.9444518324506606,1.0,0.6961106534094104,0.5217939230554687,-0.47526055431706793,-0.17075527033254997,-0.33356082584481905,-0.3789673426296427,-0.1961405504862486
shannon,0.6935897667435335,0.6386356431043779,-0.2505354496363649,0.6935584938036143,0.6961106534094104,1.0,0.9265543088318634,-0.318269160253246,-0.15796013830139785,-0.20954571070707464,-0.23745716440112896,-0.1390354315397754
simpson,0.5297573119472491,0.4914288124081301,-0.1829675652417006,0.5292545569492175,0.5217939230554687,0.9265543088318634,1.0,-0.15463009285819918,-0.09056421963035152,-0.06288556953860501,-0.096427506646426,-0.07778958439125876
CHO,-0.36160070561144486,-0.3273605383535093,0.1234270666010096,-0.36150755641256743,-0.47526055431706793,-0.318269160253246,-0.15463009285819918,1.0,0.33923939995823565,0.8863034994587249,0.9198711941227214,0.4169776379198375
TG,-0.13117651861948892,-0.13663966009560433,0.09845639445185062,-0.1328729593876327,-0.17075527033254997,-0.15796013830139785,-0.09056421963035152,0.33923939995823565,1.0,0.2606070367403135,0.34420387522119095,0.6081044676618726
HDL,-0.2368818954265972,-0.23739360659574466,0.063920272715377,-0.2368911049209883,-0.33356082584481905,-0.20954571070707464,-0.06288556953860501,0.8863034994587249,0.2606070367403135,1.0,0.7860808338260714,0.3767967322894964
LDL,-0.25662422213692854,-0.22401036358566398,0.16091289393650193,-0.2570387564433073,-0.3789673426296427,-0.23745716440112896,-0.096427506646426,0.9198711941227214,0.34420387522119095,0.7860808338260714,1.0,0.4862449248720766
APOB,-0.11818366600802417,-0.1359165569868864,-0.002204440563875659,-0.11890760718983247,-0.1961405504862486,-0.1390354315397754,-0.07778958439125876,0.4169776379198375,0.6081044676618726,0.3767967322894964,0.4862449248720766,1.0
