,indicator,importance
0,PE(15:0/20:0),0.099508375
1,COLFORSIN,0.092141956
2,g__Eubacterium_nodatum_group.1,0.09037855
3,"""2-Dimethylamino-5,6-dimethylpyrimidin-4-ol""",0.06855883
4,"""5alpha-Androstane-3beta,17beta-diol diacetate""",0.05610317
5,Hexadecanamide,0.047586303
6,cyclohexylammonium,0.047566354
7,Halstoctacosanolide A,0.039791003
8,protein,0.036216654
9,Deidaclin,0.032788496
10,Valsartan acid,0.031093616
11,"""3-(3,4-Dichlorophenyl)-1-hydroxy-1-methylurea""",0.027916638
12,ALPHA-AMINOADIPATE,0.026806517
13,cis-2-Carboxycyclohexyl-acetic acid,0.025810586
14,Calystegin A3,0.02286609
15,Zingerone,0.020775843
16,"""2,3,4,7,8-Pentachlorodibenzofuran""",0.01844324
17,f__Prevotellaceae,0.014626235
18,Parsonsine,0.014311268
19,"""1,2-dihydroxyheptadec-16-yn-4-yl acetate""",0.014146963
20,Thymol-beta-D-glucoside,0.013236993
21,"""2,4-Dimethylphenol""",0.011946669
22,Haloperidol,0.0106194485
