,indicator,importance
0,feruloyltyramine,0.22101279
1,(S)-Piperazine-2-carboxamide,0.12451011
2,f__Ruminococcaceae,0.06506076
3,Isofebrifugine,0.0639754
4,Food consumption,0.049432624
5,bodyweight,0.042046648
6,"""N,N-Dihydroxy-L-tryptophan""",0.037551336
7,Testosterone phenylpropionate,0.034330394
8,Glycerol,0.025494104
9,PE(15:0/20:0),0.022997437
10,Salannin,0.022898238
11,"""(2R)-2-[(2R,5S)-5-[(2S)-2-hydroxybutyl]oxolan-2-yl]propanoic acid""",0.017793035
12,Diethyloxalpropionate,0.016935837
13,Aurantio-obtusin,0.016587842
14,N-Benzoyl-D-arginine-4-nitroanilide,0.016463272
15,"""1-(6-Oxo-6H-dibenzo[b,d]pyran-3-yl)-1H-pyrrole-2,5-dione""",0.01590561
16,"""2-Amino-5-(5-nitro-2-furyl)-1,3,4-thiadiazole""",0.015549869
17,Promethazine,0.014824176
18,g__uncultured,0.014680943
19,f__Alcaligenaceae,0.014286448
20,"""N-alpha-Acetyl-L-2,4-diaminobutyrate""",0.011000045
21,g__Corynebacterium_1,0.01059394
22,Iso-Valeraldehyde,0.008913413
